UniProtKB,Gene_symbol,Endogenous_interactions_with_virus_targets,Endogenous_interactions_with_virus_targets(No.),Endogenous_interactions_with_spike_targets(Frequency),Endogenous_interactions_with_envelope_targets(Frequency),Endogenous_interactions_with_membrane_targets(Frequency),Endogenous_interactions_with_nucleocapsid_targets(Frequency),Endogenous_interactions_with_orf3a_targets(Frequency),Endogenous_interactions_with_orf6_targets(Frequency),Endogenous_interactions_with_orf7a_targets(Frequency),Endogenous_interactions_with_orf8_targets(Frequency),Endogenous_interactions_with_orf10_targets(Frequency),Endogenous_interactions_with_NSP1_targets(Frequency),Endogenous_interactions_with_NSP2_targets(Frequency),Endogenous_interactions_with_NSP3_targets(Frequency),Endogenous_interactions_with_NSP4_targets(Frequency),Endogenous_interactions_with_NSP5_targets(Frequency),Endogenous_interactions_with_NSP6_targets(Frequency),Endogenous_interactions_with_NSP7_targets(Frequency),Endogenous_interactions_with_NSP8_targets(Frequency),Endogenous_interactions_with_NSP9_targets(Frequency),Endogenous_interactions_with_NSP10_targets(Frequency),Endogenous_interactions_with_NSP11_targets(Frequency),Endogenous_interactions_with_NSP12_targets(Frequency),Endogenous_interactions_with_NSP13_targets(Frequency),Endogenous_interactions_with_NSP14_targets(Frequency),Endogenous_interactions_with_NSP15_targets(Frequency),Endogenous_interactions_with_NSP16_targets(Frequency)
Q8TEW0,PARD3,nsp9:DCAF7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q92636,NSMAF,nsp9:NEK9;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q93008,USP9X,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q969P6,TOP1MT,nsp9:NUP58;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q96A73,KIAA1191,nsp9:NUP58;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q96B02,UBE2W,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q96II8,LRCH3,nsp9:DCAF7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q96NJ5,KLHL32,nsp9:NUP62;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q99675,CGRRF1,nsp9:ZNF503;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q99972,MYOC,nsp9:FBN1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q99988,GDF15,nsp9:NUP58;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9BTX1,NDC1,nsp9:NUP58;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9BVG3,TRIM62,nsp9:NUP88;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9C099,LRRCC1,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9H3H3,C11orf68,nsp9:EIF4H;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9H4D5,NXF3,nsp9:NUP214;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9H7S9,ZNF703,nsp9:DCAF7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9HBF4,ZFYVE1,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9HCS5,EPB41L4A,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9NQW5,PRDM7,nsp9:NUP54;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9NRM7,LATS2,nsp9:DCAF7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9NZC9,SMARCAL1,nsp9:DCAF7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9P2A4,ABI3,nsp9:NUP58;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9UBG3,CRNN,nsp9:NUP54;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9UBT6,POLK,nsp9:SPART;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9UBX5,FBLN5,nsp9:FBN1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9UKV0,HDAC9,nsp9:NUP214;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9ULX9,MAFF,nsp9:NEK9;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y248,GINS2,nsp9:EIF4H;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y2X8,UBE2D4,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y4B4,RAD54L2,nsp9:DCAF7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y547,HSPB11,nsp9:NUP62;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y5X3,SNX5,nsp9:MIB1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y6C2,EMILIN1,nsp9:NUP214;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
Q9Y6D6,ARFGEF1,nsp9:NUP62;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0.062,0,N/A,0,0,0,0,N/A
A6NFR6,C5orf60,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
A7E2Y1,MYH7B,nsp8:MRPS27;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
C9JLW8,MCRIP1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O00330,PDHX,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O00409,FOXN3,nsp8:EXOSC8;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O14530,TXNDC9,nsp8:EXOSC8;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O14646,CHD1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O14647,CHD2,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O14893,GEMIN2,nsp8:SRP54;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O14986,PIP5K1B,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O15042,U2SURP,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O43247,TEX33,nsp8:ATE1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O43293,DAPK3,nsp8:AATF;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O43347,MSI1,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O43716,GATC,nsp8:NARS2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O60256,PRPSAP2,nsp8:NSD2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O60759,CYTIP,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75096,LRP4,nsp8:EXOSC5;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75151,PHF2,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75251,NDUFS7,nsp8:NARS2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75394,MRPL33,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75475,PSIP1,nsp8:NSD2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75496,GMNN,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75886,STAM2,nsp8:SRP19;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O75976,CPD,nsp8:AATF;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O76064,RNF8,nsp8:EXOSC2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O94813,SLIT2,nsp8:EXOSC2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O94921,CDK14,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O95059,RPP14,nsp8:EXOSC8;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O95104,SCAF4,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O95218,ZRANB2,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O95707,POP4,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
O95972,BMP15,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P00480,OTC,nsp8:NARS2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P01350,GAST,nsp8:ATE1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P05089,ARG1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P05538,HLA-DQB2,nsp8:ATE1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P08631,HCK,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P08729,KRT7,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P09496,CLTA,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P09769,FGR,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P12273,PIP,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P16452,EPB42,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P19013,KRT4,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P20618,PSMB1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P20794,MAK,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P22455,FGFR4,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P24752,ACAT1,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P24844,MYL9,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P25106,ACKR3,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P28070,PSMB4,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P30405,PPIF,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P35498,SCN1A,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P35749,MYH11,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P36507,MAP2K2,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P41567,EIF1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P42568,MLLT3,nsp8:EXOSC3;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P46459,NSF,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P46736,BRCC3,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P49406,MRPL19,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P49450,CENPA,nsp8:MRPS27;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P49959,MRE11,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P51575,P2RX1,nsp8:ATE1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P51790,CLCN3,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P52736,ZNF133,nsp8:MRPS2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P52739,ZNF131,nsp8:EXOSC3;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P54819,AK2,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P56373,P2RX3,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P59047,NLRP5,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P60468,SEC61B,nsp8:SRP54;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P61011,SRP54,nsp8:SRP19;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P62875,POLR2L,nsp8:EXOSC5;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P78345,RPP38,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P78369,CLDN10,nsp8:ATE1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
P98171,ARHGAP4,nsp8:NSD2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q00005,PPP2R2B,nsp8:MRPS27;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q03701,CEBPZ,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q07352,ZFP36L1,nsp8:EXOSC2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q08999,RBL2,nsp8:AATF;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q12872,SFSWAP,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q12996,CSTF3,nsp8:NSD2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13268,DHRS2,nsp8:EXOSC5;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13287,NMI,nsp8:EXOSC5;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13451,FKBP5,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13610,PWP1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13614,MTMR2,nsp8:SEPSECS;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13615,MTMR3,nsp8:EXOSC8;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q13769,THOC5,nsp8:MRPS27;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q14004,CDK13,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q14008,CKAP5,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q14669,TRIP12,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q16594,TAF9,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q16633,POU2AF1,nsp8:ATE1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q16654,PDK4,nsp8:NARS2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q16698,DECR1,nsp8:EXOSC5;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q16763,UBE2S,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q3MHD2,LSM12,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q5JXB2,UBE2NL,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q5T2R2,PDSS1,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q5T9A4,ATAD3B,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6AW86,ZNF324B,nsp8:AATF;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6EKJ0,GTF2IRD2B,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6KB66,KRT80,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6NUN0,ACSM5,nsp8:NARS2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6P1L8,MRPL14,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6PGQ7,BORA,nsp8:NGDN;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6XE24,RBMS3,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q6ZTQ3,RASSF6,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q76L83,ASXL2,nsp8:EXOSC2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q7Z2W9,MRPL21,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q7Z478,DHX29,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q7Z624,CAMKMT,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q7Z7H8,MRPL10,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q7Z7K6,CENPV,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q86TJ2,TADA2B,nsp8:AATF;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q86TS9,MRPL52,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q86UP8,GTF2IRD2,nsp8:MEPCE;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q86UY8,NT5DC3,nsp8:EXOSC2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q86W42,THOC6,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q86Y22,COL23A1,nsp8:EXOSC8;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q8IW36,ZNF695,nsp8:HECTD1;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q8IY37,DHX37,nsp8:NSD2;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q8IYF3,TEX11,nsp8:EXOSC5;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q8N5L8,RPP25L,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
Q8N5P1,ZC3H8,nsp8:LARP7;,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0.042,0,0,N/A,0,0,0,0,N/A
